N,Precision,Recall,F-Measure
1,1.0,0.1,0.18181818181818182
2,1.0,0.2,0.33333333333333337
3,0.6666666666666666,0.2,0.30769230769230765
4,0.5,0.2,0.28571428571428575
5,0.4,0.2,0.26666666666666666
6,0.3333333333333333,0.2,0.25
7,0.2857142857142857,0.2,0.23529411764705882
8,0.25,0.2,0.22222222222222224
9,0.2222222222222222,0.2,0.2105263157894737
10,0.2,0.2,0.20000000000000004
11,0.2727272727272727,0.3,0.28571428571428564
12,0.3333333333333333,0.4,0.3636363636363636
13,0.3076923076923077,0.4,0.34782608695652173
14,0.2857142857142857,0.4,0.3333333333333333
15,0.26666666666666666,0.4,0.32
16,0.3125,0.5,0.38461538461538464
17,0.35294117647058826,0.6,0.4444444444444445
18,0.3333333333333333,0.6,0.42857142857142855
19,0.3684210526315789,0.7,0.48275862068965514
20,0.35,0.7,0.4666666666666667
21,0.3333333333333333,0.7,0.45161290322580644
22,0.36363636363636365,0.8,0.5000000000000001
23,0.391304347826087,0.9,0.5454545454545454
24,0.375,0.9,0.5294117647058825
25,0.36,0.9,0.5142857142857143
26,0.34615384615384615,0.9,0.5
27,0.37037037037037035,1.0,0.5405405405405406
28,0.35714285714285715,1.0,0.5263157894736842
29,0.3448275862068966,1.0,0.5128205128205129
30,0.3333333333333333,1.0,0.5
